rank,tier,company_name,renewable_type,geographic_focus_us,website,notes
1,A-Solar-Utility,NextEra Energy Resources,Solar/Wind/BESS/Nuclear,Nationwide,nexteraenergyresources.com,Largest US renewable owner; landowner page confirmed
2,A-Solar-Utility,Invenergy,Solar/Wind/Storage/Gas,Nationwide,invenergy.com,Privately held; huge pipeline
3,A-Solar-Utility,AES US,Solar/Wind/Storage,Nationwide (esp IN OH),aes.com,Landowner page confirmed
4,A-Solar-Utility,EDF Renewables North America,Solar/Wind/Storage,Nationwide,edf-re.com,VERIFIED: edf-re.com/landowners/ - landowner@edf-re.com - 1.844.943.0723
5,A-Solar-Utility,Lightsource bp,Solar,Nationwide,lightsourcebp.com,Landowner page confirmed
6,A-Solar-Utility,Avangrid Renewables,Solar/Wind,Nationwide,avangrid.com,Iberdrola subsidiary
7,A-Solar-Utility,EDP Renewables North America,Solar/Wind/Storage,Nationwide,edpr.com,EU parent
8,A-Solar-Utility,Engie North America,Solar/Wind/Storage,Nationwide,engie-na.com,
9,A-Solar-Utility,Acciona Energia North America,Solar/Wind,TX OK IL,acciona-energia.com,
10,A-Solar-Utility,Iberdrola Renewables,Solar/Wind,Nationwide,iberdrola.com,Parent of Avangrid
11,A-Solar-Utility,National Grid Renewables,Solar/Wind/Storage,Nationwide (Midwest strong),nationalgridrenewables.com,Formerly Geronimo Energy
12,A-Solar-Utility,Cypress Creek Renewables,Solar/Storage,Nationwide (esp SE),cypresscreekenergy.com,VERIFIED: cypresscreekenergy.com/landowners - rebranded from ccrenew.com - parcel-level intake form
13,A-Solar-Utility,Silicon Ranch Corporation,Solar/Agrivoltaics,SE US (NC GA TN AL),siliconranch.com,VERIFIED: siliconranch.com/landowners/ - 25 to 1000+ acres contiguous - info@siliconranch.com - 615.577.4786
14,A-Solar-Utility,Origis Energy,Solar/BESS,Nationwide,origisenergy.com,
15,A-Solar-Utility,Recurrent Energy,Solar/Storage,Nationwide,recurrentenergy.com,Canadian Solar US arm
16,A-Solar-Utility,Savion,Solar/BESS,Nationwide,savionenergy.com,Shell-owned
17,A-Solar-Utility,Hecate Energy,Solar/Storage,Nationwide,hecateenergy.com,
